str_name;hausnr;hausnr_zus;plz;ort
Sevogelstrasse;79;;4052;Basel
Sevogelstrasse;83;;4052;Basel
Sevogelstrasse;89;;4052;Basel
Sevogelstrasse;91;;4052;Basel
Sevogelstrasse;97;;4052;Basel
Sevogelstrasse;105;;4052;Basel
Sevogelstrasse;113;;4052;Basel
Sevogelstrasse;115;;4052;Basel
Sevogelstrasse;119;;4052;Basel
Sierenzerstrasse;3;;4055;Basel
Sierenzerstrasse;9;;4055;Basel
Sierenzerstrasse;15;;4055;Basel
Sierenzerstrasse;16;;4055;Basel
Sierenzerstrasse;22;;4055;Basel
Sierenzerstrasse;28;;4055;Basel
Sierenzerstrasse;34;;4055;Basel
Sierenzerstrasse;35;;4055;Basel
Sierenzerstrasse;37;;4055;Basel
Sierenzerstrasse;41;;4055;Basel
Sierenzerstrasse;48;;4055;Basel
Sierenzerstrasse;50;;4055;Basel
Sierenzerstrasse;51;;4055;Basel
Sierenzerstrasse;55;;4055;Basel
Sierenzerstrasse;60;;4055;Basel
Sierenzerstrasse;63;;4055;Basel
Sierenzerstrasse;69;;4055;Basel
Sierenzerstrasse;72;;4055;Basel
Singerstrasse;8;;4052;Basel
Sissacherstrasse;4;;4052;Basel
Sissacherstrasse;10;;4052;Basel
Salinenstrasse;38;;4052;Basel
Sissacherstrasse;29;;4052;Basel
Salinenstrasse;40;;4052;Basel
Sissacherstrasse;31;;4052;Basel
Sissacherstrasse;37;;4052;Basel
Sissacherstrasse;57;;4052;Basel
Sissacherstrasse;61;;4052;Basel
Socinstrasse;1;;4051;Basel
Socinstrasse;5;;4051;Basel
Socinstrasse;7;;4051;Basel
Socinstrasse;19;;4051;Basel
Socinstrasse;22;;4051;Basel
Socinstrasse;25;;4051;Basel
Socinstrasse;27;;4051;Basel
Socinstrasse;35;;4051;Basel
Socinstrasse;38;;4051;Basel
Nonnenweg;3;;4055;Basel
Socinstrasse;47;;4051;Basel
Socinstrasse;51;;4051;Basel
Socinstrasse;55;;4051;Basel
Socinstrasse;57;;4051;Basel
Socinstrasse;73;;4051;Basel
Socinstrasse;75;;4051;Basel
Socinstrasse;77;;4051;Basel
Socinstrasse;81;;4051;Basel
Solothurnerstrasse;11;;4053;Basel
Solothurnerstrasse;13;;4053;Basel
Solothurnerstrasse;15;;4053;Basel
Solothurnerstrasse;19;;4053;Basel
Solothurnerstrasse;35;;4053;Basel
Solothurnerstrasse;41;;4053;Basel
Solothurnerstrasse;45;;4053;Basel
Solothurnerstrasse;49;;4053;Basel
Solothurnerstrasse;51;;4053;Basel
Solothurnerstrasse;53;;4053;Basel
Solothurnerstrasse;59;;4053;Basel
Solothurnerstrasse;61;;4053;Basel
Solothurnerstrasse;63;;4053;Basel
Solothurnerstrasse;65;;4053;Basel
Solothurnerstrasse;72;;4053;Basel
Solothurnerstrasse;74;;4053;Basel
Solothurnerstrasse;76;;4053;Basel
Solothurnerstrasse;78;;4053;Basel
Solothurnerstrasse;80;;4053;Basel
Solothurnerstrasse;81;;4053;Basel
Solothurnerstrasse;85;;4053;Basel
Sommergasse;7;;4056;Basel
Sommergasse;9;;4056;Basel
Sommergasse;12;;4056;Basel
Sommergasse;13;;4056;Basel
Sommergasse;16;;4056;Basel
Sommergasse;21;;4056;Basel
Sommergasse;30;;4056;Basel
Sommergasse;32;;4056;Basel
Sommergasse;34;;4056;Basel
Sommergasse;37;;4056;Basel
Sommergasse;38;;4056;Basel
Sommergasse;39;;4056;Basel
Sommergasse;41;;4056;Basel
Sommergasse;47;;4056;Basel
Sonnenbergstrasse;51;;4059;Basel
Sonnenweg;2;;4052;Basel
Sonnenweg;3;;4052;Basel
Sonnenweg;10;;4052;Basel
Sonnenweg;12;;4052;Basel
Sonnenweg;13;;4052;Basel
Sonnenweg;24;;4052;Basel
Spalenberg;12;;4051;Basel
Spalenberg;14;;4051;Basel
Spalenberg;22;;4051;Basel
Spalenberg;25;;4051;Basel
Spalenberg;26;;4051;Basel
Spalenberg;28;;4051;Basel
Spalenberg;29;;4051;Basel
